Province,Riding English,Riding French,Candidate English,Candidate French,Party,Votes,Elected
Newfoundland and Labrador,Avalon,Avalon,Scott Andrews,Scott Andrews,Liberal Party of Canada,14866,
Newfoundland and Labrador,Avalon,Avalon,Dave Aylward,Dave Aylward,Green Party of Canada,714,
Newfoundland and Labrador,Avalon,Avalon,Randy Wayne Dawe,Randy Wayne Dawe,New Democratic Party,5707,
Newfoundland and Labrador,Avalon,Avalon,Fabian Manning,Fabian Manning,Conservative Party of Canada,11542,
Newfoundland and Labrador,Bonavista--Gander--Grand Falls--Windsor,Bonavista--Gander--Grand Falls--Windsor,Jason Holley,Jason Holley,New Democratic Party,3577,
Newfoundland and Labrador,Bonavista--Gander--Grand Falls--Windsor,Bonavista--Gander--Grand Falls--Windsor,Andrew House,Andrew House,Conservative Party of Canada,4354,
Newfoundland and Labrador,Bonavista--Gander--Grand Falls--Windsor,Bonavista--Gander--Grand Falls--Windsor,Robert Karl O'Connor,Robert Karl O'Connor,Green Party of Canada,568,
Newfoundland and Labrador,Bonavista--Gander--Grand Falls--Windsor,Bonavista--Gander--Grand Falls--Windsor,Scott Simms,Scott Simms,Liberal Party of Canada,20089,
Newfoundland and Labrador,Humber--St. Barbe--Baie Verte,Humber--St. Barbe--Baie Verte,Wayne Ronald Bennett,Wayne Ronald Bennett,Newfoundland and Labrador First Party,964,
Newfoundland and Labrador,Humber--St. Barbe--Baie Verte,Humber--St. Barbe--Baie Verte,Gerry Byrne,Gerry Byrne,Liberal Party of Canada,17956,
Newfoundland and Labrador,Humber--St. Barbe--Baie Verte,Humber--St. Barbe--Baie Verte,Mark Kennedy,Mark Kennedy,New Democratic Party,4603,
Newfoundland and Labrador,Humber--St. Barbe--Baie Verte,Humber--St. Barbe--Baie Verte,Lorne Robinson,Lorne Robinson,Conservative Party of Canada,2799,
Newfoundland and Labrador,Labrador,Labrador,Phyllis Artiss,Phyllis Artiss,New Democratic Party,1378,
Newfoundland and Labrador,Labrador,Labrador,Lacey Lewis,Lacey Lewis,Conservative Party of Canada,615,
Newfoundland and Labrador,Labrador,Labrador,Nyssa Christine McLeod,Nyssa Christine McLeod,Green Party of Canada,302,
Newfoundland and Labrador,Labrador,Labrador,Todd Russell,Todd Russell,Liberal Party of Canada,5426,
Newfoundland and Labrador,Random--Burin--St. George's,Random--Burin--St. George's,Herb Davis,Herb Davis,Conservative Party of Canada,4791,
Newfoundland and Labrador,Random--Burin--St. George's,Random--Burin--St. George's,Judy Foote,Judy Foote,Liberal Party of Canada,12557,
Newfoundland and Labrador,Random--Burin--St. George's,Random--Burin--St. George's,Kaitlin Wainwright,Kaitlin Wainwright,Green Party of Canada,462,
Newfoundland and Labrador,Random--Burin--St. George's,Random--Burin--St. George's,Terry White,Terry White,New Democratic Party,5563,
Newfoundland and Labrador,St. John's East,St. John's-Est,Les Coultas,Les Coultas,Newfoundland and Labrador First Party,347,
Newfoundland and Labrador,St. John's East,St. John's-Est,Jack Harris,Jack Harris,New Democratic Party,30881,
Newfoundland and Labrador,St. John's East,St. John's-Est,Walter Noel,Walter Noel,Liberal Party of Canada,5211,
Newfoundland and Labrador,St. John's East,St. John's-Est,Howard Story,Howard Story,Green Party of Canada,570,
Newfoundland and Labrador,St. John's East,St. John's-Est,Shannon John Tobin,Shannon John Tobin,Progressive Canadian Party,578,
Newfoundland and Labrador,St. John's East,St. John's-Est,Craig Westcott,Craig Westcott,Conservative Party of Canada,3836,
Newfoundland and Labrador,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,Terry Christopher Butler,Terry Christopher Butler,Independent,179,
Newfoundland and Labrador,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,Greg Byrne,Greg Byrne,Newfoundland and Labrador First Party,402,
Newfoundland and Labrador,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,Ryan Cleary,Ryan Cleary,New Democratic Party,13971,
Newfoundland and Labrador,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,Siobhan Coady,Siobhan Coady,Liberal Party of Canada,14920,
Newfoundland and Labrador,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,Ted Warren,Ted Warren,Green Party of Canada,643,
Newfoundland and Labrador,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,Merv Wiseman,Merv Wiseman,Conservative Party of Canada,4324,
Prince Edward Island,Cardigan,Cardigan,Mike Avery,Mike Avery,New Democratic Party,1556,
Prince Edward Island,Cardigan,Cardigan,Emma Daughton,Emma Daughton,Green Party of Canada,710,
Prince Edward Island,Cardigan,Cardigan,Lawrence MacAulay,Lawrence MacAulay,Liberal Party of Canada,10105,
Prince Edward Island,Cardigan,Cardigan,Larry McGuire,Larry McGuire,Independent,1101,
Prince Edward Island,Cardigan,Cardigan,Sid McMullin,Sid McMullin,Conservative Party of Canada,5661,
Prince Edward Island,Charlottetown,Charlottetown,Laura M. Bisaillon,Laura M. Bisaillon,Green Party of Canada,858,
Prince Edward Island,Charlottetown,Charlottetown,Tom DeBlois,Tom DeBlois,Conservative Party of Canada,5704,
Prince Edward Island,Charlottetown,Charlottetown,Baird Judson,Baird Judson,Christian Heritage Party of Canada,124,
Prince Edward Island,Charlottetown,Charlottetown,Shawn Murphy,Shawn Murphy,Liberal Party of Canada,8893,
Prince Edward Island,Charlottetown,Charlottetown,Brian Pollard,Brian Pollard,New Democratic Party,2187,
Prince Edward Island,Egmont,Egmont,Orville Lewis,Orville Lewis,New Democratic Party,1670,
Prince Edward Island,Egmont,Egmont,Keith Milligan,Keith Milligan,Liberal Party of Canada,8055,
Prince Edward Island,Egmont,Egmont,Rebecca Ridlington,Rebecca Ridlington,Green Party of Canada,626,
Prince Edward Island,Egmont,Egmont,Gail Shea,Gail Shea,Conservative Party of Canada,8110,
Prince Edward Island,Malpeque,Malpeque,Peter Bevan-Baker,Peter Bevan-Baker,Green Party of Canada,1291,
Prince Edward Island,Malpeque,Malpeque,J'Nan Brown,J'Nan Brown,New Democratic Party,1819,
Prince Edward Island,Malpeque,Malpeque,Mary Crane,Mary Crane,Conservative Party of Canada,7388,
Prince Edward Island,Malpeque,Malpeque,Wayne Easter,Wayne Easter,Liberal Party of Canada,8312,
Nova Scotia,Cape Breton--Canso,Cape Breton--Canso,Rodger Cuzner,Rodger Cuzner,Liberal Party of Canada,17447,
Nova Scotia,Cape Breton--Canso,Cape Breton--Canso,Dwayne MacEachern,Dwayne MacEachern,Green Party of Canada,2641,
Nova Scotia,Cape Breton--Canso,Cape Breton--Canso,Mark MacNeill,Mark MacNeill,New Democratic Party,7660,
Nova Scotia,Cape Breton--Canso,Cape Breton--Canso,Allan Richard Murphy,Allan Richard Murphy,Conservative Party of Canada,8524,
Nova Scotia,Central Nova,Nova-Centre,Paul Kemp,Paul Kemp,Canadian Action Party,196,
Nova Scotia,Central Nova,Nova-Centre,Mary Louise Lorefice,Mary Louise Lorefice,New Democratic Party,7659,
Nova Scotia,Central Nova,Nova-Centre,Michael Harris MacKay,Michael Harris MacKay,Christian Heritage Party of Canada,427,
Nova Scotia,Central Nova,Nova-Centre,Peter Gordon MacKay,Peter Gordon MacKay,Conservative Party of Canada,18240,
Nova Scotia,Central Nova,Nova-Centre,Elizabeth May,Elizabeth May,Green Party of Canada,12620,
Nova Scotia,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,George Campbell,George Campbell,Christian Heritage Party of Canada,219,
Nova Scotia,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,Brad Pye,Brad Pye,New Democratic Party,12793,
Nova Scotia,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,Michael John Savage,Michael John Savage,Liberal Party of Canada,16016,
Nova Scotia,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,Paul Shreenan,Paul Shreenan,Green Party of Canada,2417,
Nova Scotia,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,Wanda Webber,Wanda Webber,Conservative Party of Canada,9109,
Nova Scotia,Halifax,Halifax,Ted Larsen,Ted Larsen,Conservative Party of Canada,9295,
Nova Scotia,Halifax,Halifax,Megan Leslie,Megan Leslie,New Democratic Party,19252,
Nova Scotia,Halifax,Halifax,Catherine Meade,Catherine Meade,Liberal Party of Canada,12458,
Nova Scotia,Halifax,Halifax,Tony Seed,Tony Seed,Marxist-Leninist Party of Canada,162,
Nova Scotia,Halifax,Halifax,Darryl Whetter,Darryl Whetter,Green Party of Canada,3931,
Nova Scotia,Halifax West,Halifax-Ouest,Trevor Ennis,Trevor Ennis,Christian Heritage Party of Canada,257,
Nova Scotia,Halifax West,Halifax-Ouest,Rakesh Khosla,Rakesh Khosla,Conservative Party of Canada,8708,
Nova Scotia,Halifax West,Halifax-Ouest,Tamara Lorincz,Tamara Lorincz,New Democratic Party,12201,
Nova Scotia,Halifax West,Halifax-Ouest,Michael Munday,Michael Munday,Green Party of Canada,2920,
Nova Scotia,Halifax West,Halifax-Ouest,Geoff Regan,Geoff Regan,Liberal Party of Canada,17129,
Nova Scotia,Kings--Hants,Kings--Hants,Scott Brison,Scott Brison,Liberal Party of Canada,16641,
Nova Scotia,Kings--Hants,Kings--Hants,Carol E. Harris,Carol E. Harris,New Democratic Party,8291,
Nova Scotia,Kings--Hants,Kings--Hants,Jim Hnatiuk,Jim Hnatiuk,Christian Heritage Party of Canada,528,
Nova Scotia,Kings--Hants,Kings--Hants,Brendan MacNeill,Brendan MacNeill,Green Party of Canada,2353,
Nova Scotia,Kings--Hants,Kings--Hants,Rosemary Segado,Rosemary Segado,Conservative Party of Canada,9846,
Nova Scotia,Cumberland--Colchester--Musquodoboit Valley,Cumberland--Colchester--Musquodoboit Valley,Joel E. Bernard,Joel E. Bernard,Conservative Party of Canada,3493,
Nova Scotia,Cumberland--Colchester--Musquodoboit Valley,Cumberland--Colchester--Musquodoboit Valley,Bill Casey,Bill Casey,Independent,27303,
Nova Scotia,Cumberland--Colchester--Musquodoboit Valley,Cumberland--Colchester--Musquodoboit Valley,Karen Olsson,Karen Olsson,New Democratic Party,4874,
Nova Scotia,Cumberland--Colchester--Musquodoboit Valley,Cumberland--Colchester--Musquodoboit Valley,Tracy Parsons,Tracy Parsons,Liberal Party of Canada,3344,
Nova Scotia,Cumberland--Colchester--Musquodoboit Valley,Cumberland--Colchester--Musquodoboit Valley,Rick Simpson,Rick Simpson,Independent,550,
Nova Scotia,Sackville--Eastern Shore,Sackville--Eastern Shore,Noreen Hartlen,Noreen Hartlen,Green Party of Canada,2034,
Nova Scotia,Sackville--Eastern Shore,Sackville--Eastern Shore,David Montgomery,David Montgomery,Conservative Party of Canada,8198,
Nova Scotia,Sackville--Eastern Shore,Sackville--Eastern Shore,Carolyn Scott,Carolyn Scott,Liberal Party of Canada,5018,
Nova Scotia,Sackville--Eastern Shore,Sackville--Eastern Shore,Peter Stoffer,Peter Stoffer,New Democratic Party,24279,
Nova Scotia,South Shore--St. Margaret's,South Shore--St. Margaret's,Gordon S. Earle,Gordon S. Earle,New Democratic Party,13456,
Nova Scotia,South Shore--St. Margaret's,South Shore--St. Margaret's,Gerald Keddy,Gerald Keddy,Conservative Party of Canada,14388,
Nova Scotia,South Shore--St. Margaret's,South Shore--St. Margaret's,Joe Larkin,Joe Larkin,Christian Heritage Party of Canada,513,
Nova Scotia,South Shore--St. Margaret's,South Shore--St. Margaret's,Michael Oddy,Michael Oddy,Green Party of Canada,2090,
Nova Scotia,South Shore--St. Margaret's,South Shore--St. Margaret's,Bill Smith,Bill Smith,Liberal Party of Canada,9536,
Nova Scotia,Sydney--Victoria,Sydney--Victoria,Mark Eyking,Mark Eyking,Liberal Party of Canada,17303,
Nova Scotia,Sydney--Victoria,Sydney--Victoria,Collin Harker,Collin Harker,Green Party of Canada,1941,
Nova Scotia,Sydney--Victoria,Sydney--Victoria,Wayne McKay,Wayne McKay,New Democratic Party,8559,
Nova Scotia,Sydney--Victoria,Sydney--Victoria,Kristen Rudderham,Kristen Rudderham,Conservative Party of Canada,7223,
Nova Scotia,West Nova,Nova-Ouest,George Barron,George Barron,New Democratic Party,7097,
Nova Scotia,West Nova,Nova-Ouest,Greg Kerr,Greg Kerr,Conservative Party of Canada,16779,
Nova Scotia,West Nova,Nova-Ouest,Ronald Mills,Ronald Mills,Green Party of Canada,2106,
Nova Scotia,West Nova,Nova-Ouest,Cindy M. Nesbitt,Cindy M. Nesbitt,Independent,844,
Nova Scotia,West Nova,Nova-Ouest,Robert Thibault,Robert Thibault,Liberal Party of Canada,15185,
New Brunswick,Acadie--Bathurst,Acadie--Bathurst,Michelle Aubin,Michelle Aubin,Green Party of Canada,904,
New Brunswick,Acadie--Bathurst,Acadie--Bathurst,Jean Guy Dubé,Jean Guy Dubé,Conservative Party of Canada,8331,
New Brunswick,Acadie--Bathurst,Acadie--Bathurst,Yvon Godin,Yvon Godin,New Democratic Party,25849,
New Brunswick,Acadie--Bathurst,Acadie--Bathurst,Odette Robichaud,Odette Robichaud,Liberal Party of Canada,9850,
New Brunswick,Beauséjour,Beauséjour,Chris Durrant,Chris Durrant,New Democratic Party,7242,
New Brunswick,Beauséjour,Beauséjour,Dominic LeBlanc,Dominic LeBlanc,Liberal Party of Canada,20059,
New Brunswick,Beauséjour,Beauséjour,Omer Leger,Omer Leger,Conservative Party of Canada,12506,
New Brunswick,Beauséjour,Beauséjour,Michael Milligan,Michael Milligan,Green Party of Canada,3087,
New Brunswick,Fredericton,Fredericton,Keith Ashfield,Keith Ashfield,Conservative Party of Canada,17962,
New Brunswick,Fredericton,Fredericton,Mary Lou Babineau,Mary Lou Babineau,Green Party of Canada,4293,
New Brunswick,Fredericton,Fredericton,David Innes,David Innes,Liberal Party of Canada,13319,
New Brunswick,Fredericton,Fredericton,Ben Kelly,Ben Kelly,Canadian Action Party,168,
New Brunswick,Fredericton,Fredericton,Jesse Travis,Jesse Travis,New Democratic Party,6490,
New Brunswick,Fundy Royal,Fundy Royal,Erik Matthew Millett,Erik Matthew Millett,Green Party of Canada,2443,
New Brunswick,Fundy Royal,Fundy Royal,Rob Moir,Rob Moir,New Democratic Party,7907,
New Brunswick,Fundy Royal,Fundy Royal,Rob Moore,Rob Moore,Conservative Party of Canada,17211,
New Brunswick,Fundy Royal,Fundy Royal,Mark Wright,Mark Wright,Liberal Party of Canada,5773,
New Brunswick,Madawaska--Restigouche,Madawaska--Restigouche,André Arpin,André Arpin,Green Party of Canada,1287,
New Brunswick,Madawaska--Restigouche,Madawaska--Restigouche,Jean-Claude JC D'Amours,Jean-Claude JC D'Amours,Liberal Party of Canada,16266,
New Brunswick,Madawaska--Restigouche,Madawaska--Restigouche,Jean-Pierre Ouellet,Jean-Pierre Ouellet,Conservative Party of Canada,11402,
New Brunswick,Madawaska--Restigouche,Madawaska--Restigouche,Thérèse Tremblay-Philippe,Thérèse Tremblay-Philippe,New Democratic Party,5361,
New Brunswick,Miramichi,Miramichi,Donald A. Doucet,Donald A. Doucet,New Democratic Party,4904,
New Brunswick,Miramichi,Miramichi,Charles Hubbard,Charles Hubbard,Liberal Party of Canada,10590,
New Brunswick,Miramichi,Miramichi,Tilly O'Neill-Gordon,Tilly O'Neill-Gordon,Conservative Party of Canada,12058,
New Brunswick,Miramichi,Miramichi,Todd Smith,Todd Smith,Green Party of Canada,1105,
New Brunswick,Moncton--Riverview--Dieppe,Moncton--Riverview--Dieppe,Daniel Allain,Daniel Allain,Conservative Party of Canada,16297,
New Brunswick,Moncton--Riverview--Dieppe,Moncton--Riverview--Dieppe,Carl Bainbridge,Carl Bainbridge,New Democratic Party,7394,
New Brunswick,Moncton--Riverview--Dieppe,Moncton--Riverview--Dieppe,Alison Ménard,Alison Ménard,Green Party of Canada,3998,
New Brunswick,Moncton--Riverview--Dieppe,Moncton--Riverview--Dieppe,Brian Murphy,Brian Murphy,Liberal Party of Canada,17797,
New Brunswick,New Brunswick Southwest,Nouveau-Brunswick-Sud-Ouest,Robert Wayne Boucher,Robert Wayne Boucher,Green Party of Canada,1667,
New Brunswick,New Brunswick Southwest,Nouveau-Brunswick-Sud-Ouest,Andrew Graham,Andrew Graham,New Democratic Party,4958,
New Brunswick,New Brunswick Southwest,Nouveau-Brunswick-Sud-Ouest,Nancy MacIntosh,Nancy MacIntosh,Liberal Party of Canada,5863,
New Brunswick,New Brunswick Southwest,Nouveau-Brunswick-Sud-Ouest,Greg Thompson,Greg Thompson,Conservative Party of Canada,17474,
New Brunswick,Saint John,Saint John,Michael Moffat,Michael Moffat,Marijuana Party,330,
New Brunswick,Saint John,Saint John,Tony Mowery,Tony Mowery,New Democratic Party,5560,
New Brunswick,Saint John,Saint John,Mike Richardson,Mike Richardson,Green Party of Canada,1888,
New Brunswick,Saint John,Saint John,Rodney Weston,Rodney Weston,Conservative Party of Canada,13782,
New Brunswick,Saint John,Saint John,Paul Zed,Paul Zed,Liberal Party of Canada,13285,
New Brunswick,Tobique--Mactaquac,Tobique--Mactaquac,Mike Allen,Mike Allen,Conservative Party of Canada,18071,
New Brunswick,Tobique--Mactaquac,Tobique--Mactaquac,Alice Finnamore,Alice Finnamore,New Democratic Party,4830,
New Brunswick,Tobique--Mactaquac,Tobique--Mactaquac,Mark Glass,Mark Glass,Green Party of Canada,1810,
New Brunswick,Tobique--Mactaquac,Tobique--Mactaquac,Sally McGrath,Sally McGrath,Liberal Party of Canada,6773,
Quebec,Abitibi--Témiscamingue,Abitibi--Témiscamingue,Gilbert Barrette,Gilbert Barrette,Liberal Party of Canada,9055,
Quebec,Abitibi--Témiscamingue,Abitibi--Témiscamingue,Bruno Côté,Bruno Côté,Green Party of Canada,976,
Quebec,Abitibi--Témiscamingue,Abitibi--Témiscamingue,Pierre Grandmaitre,Pierre Grandmaitre,Conservative Party of Canada,8267,
Quebec,Abitibi--Témiscamingue,Abitibi--Témiscamingue,Marc Lemay,Marc Lemay,Bloc Québécois,20929,
Quebec,Abitibi--Témiscamingue,Abitibi--Témiscamingue,Ghislain Loiselle,Ghislain Loiselle,Independent,302,
Quebec,Abitibi--Témiscamingue,Abitibi--Témiscamingue,Christine Moore,Christine Moore,New Democratic Party,4151,
Quebec,Ahuntsic,Ahuntsic,Eleni Bakopanos,Eleni Bakopanos,Liberal Party of Canada,18392,
Quebec,Ahuntsic,Ahuntsic,Alexandra Bélec,Alexandra Bélec,New Democratic Party,4276,
Quebec,Ahuntsic,Ahuntsic,Maria Mourani,Maria Mourani,Bloc Québécois,18815,
Quebec,Ahuntsic,Ahuntsic,Jean Précourt,Jean Précourt,Conservative Party of Canada,4937,
Quebec,Ahuntsic,Ahuntsic,Lynette Tremblay,Lynette Tremblay,Green Party of Canada,1228,
Quebec,Alfred-Pellan,Alfred-Pellan,Robert Carrier,Robert Carrier,Bloc Québécois,20686,
Quebec,Alfred-Pellan,Alfred-Pellan,Tristan Desjardins Drouin,Tristan Desjardins Drouin,Green Party of Canada,1665,
Quebec,Alfred-Pellan,Alfred-Pellan,Régent Millette,Régent Millette,Independent,259,
Quebec,Alfred-Pellan,Alfred-Pellan,Cynthia Roy,Cynthia Roy,New Democratic Party,6406,
Quebec,Alfred-Pellan,Alfred-Pellan,Wilson Saintelmy,Wilson Saintelmy,Liberal Party of Canada,15594,
Quebec,Alfred-Pellan,Alfred-Pellan,Alexandre Salameh,Alexandre Salameh,Conservative Party of Canada,8662,
Quebec,Argenteuil--Papineau--Mirabel,Argenteuil--Papineau--Mirabel,Pierre Audette,Pierre Audette,Green Party of Canada,2055,
Quebec,Argenteuil--Papineau--Mirabel,Argenteuil--Papineau--Mirabel,Christian-Simon Ferlatte,Christian-Simon Ferlatte,Marxist-Leninist Party of Canada,98,
Quebec,Argenteuil--Papineau--Mirabel,Argenteuil--Papineau--Mirabel,Mario Laframboise,Mario Laframboise,Bloc Québécois,26455,
Quebec,Argenteuil--Papineau--Mirabel,Argenteuil--Papineau--Mirabel,Scott Pearce,Scott Pearce,Conservative Party of Canada,9584,
Quebec,Argenteuil--Papineau--Mirabel,Argenteuil--Papineau--Mirabel,André Robert,André Robert,Liberal Party of Canada,9984,
Quebec,Argenteuil--Papineau--Mirabel,Argenteuil--Papineau--Mirabel,Alain Senécal,Alain Senécal,New Democratic Party,6819,
Quebec,Beauce,Beauce,Maxime Bernier,Maxime Bernier,Conservative Party of Canada,31883,
Quebec,Beauce,Beauce,André Côté,André Côté,Bloc Québécois,7143,
Quebec,Beauce,Beauce,Véronique Poulin,Véronique Poulin,New Democratic Party,4352,
Quebec,Beauce,Beauce,Nicolas Rochette,Nicolas Rochette,Green Party of Canada,2436,
Quebec,Beauce,Beauce,René Roy,René Roy,Liberal Party of Canada,5270,
Quebec,Beauharnois--Salaberry,Beauharnois--Salaberry,Dominique Bellemare,Dominique Bellemare,Conservative Party of Canada,10858,
Quebec,Beauharnois--Salaberry,Beauharnois--Salaberry,Claude Debellefeuille,Claude Debellefeuille,Bloc Québécois,26904,
Quebec,Beauharnois--Salaberry,Beauharnois--Salaberry,Maria Lopez,Maria Lopez,Liberal Party of Canada,7995,
Quebec,Beauharnois--Salaberry,Beauharnois--Salaberry,Anne Minh Thu Quach,Anne Minh Thu Quach,New Democratic Party,6214,
Quebec,Beauharnois--Salaberry,Beauharnois--Salaberry,David Smith,David Smith,Green Party of Canada,1764,
Quebec,Beauport--Limoilou,Beauport--Limoilou,Simon-Pierre Beaudet,Simon-Pierre Beaudet,New Democratic Party,5986,
Quebec,Beauport--Limoilou,Beauport--Limoilou,Simon Bédard,Simon Bédard,Independent,610,
Quebec,Beauport--Limoilou,Beauport--Limoilou,Sylvie Boucher,Sylvie Boucher,Conservative Party of Canada,17994,
Quebec,Beauport--Limoilou,Beauport--Limoilou,Luc Côté,Luc Côté,Green Party of Canada,1363,
Quebec,Beauport--Limoilou,Beauport--Limoilou,Éléonore Mainguy,Éléonore Mainguy,Bloc Québécois,15962,
Quebec,Beauport--Limoilou,Beauport--Limoilou,Yves Picard,Yves Picard,Liberal Party of Canada,7030,
Quebec,Berthier--Maskinongé,Berthier--Maskinongé,Guy André,Guy André,Bloc Québécois,24945,
Quebec,Berthier--Maskinongé,Berthier--Maskinongé,André Chauvette,André Chauvette,New Democratic Party,5684,
Quebec,Berthier--Maskinongé,Berthier--Maskinongé,Marie-Claude Godue,Marie-Claude Godue,Conservative Party of Canada,12078,
Quebec,Berthier--Maskinongé,Berthier--Maskinongé,Denis Lefebvre,Denis Lefebvre,Green Party of Canada,1691,
Quebec,Berthier--Maskinongé,Berthier--Maskinongé,Jean-Luc Matteau,Jean-Luc Matteau,Liberal Party of Canada,10035,
Quebec,Bourassa,Bourassa,Michelle Allaire,Michelle Allaire,Conservative Party of Canada,5405,
Quebec,Bourassa,Bourassa,François Boucher,François Boucher,Green Party of Canada,1166,
Quebec,Bourassa,Bourassa,Denis Coderre,Denis Coderre,Liberal Party of Canada,19869,
Quebec,Bourassa,Bourassa,Samira Laouni,Samira Laouni,New Democratic Party,3188,
Quebec,Bourassa,Bourassa,Daniel Mailhot,Daniel Mailhot,Bloc Québécois,10145,
Quebec,Bourassa,Bourassa,Geneviève Royer,Geneviève Royer,Marxist-Leninist Party of Canada,130,
Quebec,Brome--Missisquoi,Brome--Missisquoi,Christelle Bogosta,Christelle Bogosta,New Democratic Party,4514,
Quebec,Brome--Missisquoi,Brome--Missisquoi,Pierre Brassard,Pierre Brassard,Green Party of Canada,1784,
Quebec,Brome--Missisquoi,Brome--Missisquoi,David Marler,David Marler,Independent,354,
Quebec,Brome--Missisquoi,Brome--Missisquoi,Christian Ouellet,Christian Ouellet,Bloc Québécois,17561,
Quebec,Brome--Missisquoi,Brome--Missisquoi,Denis Paradis,Denis Paradis,Liberal Party of Canada,16357,
Quebec,Brome--Missisquoi,Brome--Missisquoi,Mark Quinlan,Mark Quinlan,Conservative Party of Canada,9309,
Quebec,Brossard--La Prairie,Brossard--La Prairie,Maurice Brossard,Maurice Brossard,Conservative Party of Canada,11062,
Quebec,Brossard--La Prairie,Brossard--La Prairie,Normand Chouinard,Normand Chouinard,Marxist-Leninist Party of Canada,157,
Quebec,Brossard--La Prairie,Brossard--La Prairie,Marcel Lussier,Marcel Lussier,Bloc Québécois,19034,
Quebec,Brossard--La Prairie,Brossard--La Prairie,Hoang Mai,Hoang Mai,New Democratic Party,7452,
Quebec,Brossard--La Prairie,Brossard--La Prairie,Alexandra Mendes,Alexandra Mendes,Liberal Party of Canada,19103,
Quebec,Brossard--La Prairie,Brossard--La Prairie,Sonia Ziadé,Sonia Ziadé,Green Party of Canada,1816,
Quebec,Chambly--Borduas,Chambly--Borduas,Olivier Adam,Olivier Adam,Green Party of Canada,2460,
Quebec,Chambly--Borduas,Chambly--Borduas,Gabriel Arsenault,Gabriel Arsenault,Liberal Party of Canada,10649,
Quebec,Chambly--Borduas,Chambly--Borduas,Suzanne Chartrand,Suzanne Chartrand,Conservative Party of Canada,9564,
Quebec,Chambly--Borduas,Chambly--Borduas,Serge Gélinas,Serge Gélinas,New Democratic Party,8998,
Quebec,Chambly--Borduas,Chambly--Borduas,Yves Lessard,Yves Lessard,Bloc Québécois,31773,
Quebec,Charlesbourg--Haute-Saint-Charles,Charlesbourg--Haute-Saint-Charles,François Bédard,François Bédard,Green Party of Canada,1231,
Quebec,Charlesbourg--Haute-Saint-Charles,Charlesbourg--Haute-Saint-Charles,Denis Courteau,Denis Courteau,Bloc Québécois,14602,
Quebec,Charlesbourg--Haute-Saint-Charles,Charlesbourg--Haute-Saint-Charles,Anne-Marie Day,Anne-Marie Day,New Democratic Party,6542,
Quebec,Charlesbourg--Haute-Saint-Charles,Charlesbourg--Haute-Saint-Charles,Denise Legros,Denise Legros,Liberal Party of Canada,7039,
Quebec,Charlesbourg--Haute-Saint-Charles,Charlesbourg--Haute-Saint-Charles,Daniel Petit,Daniel Petit,Conservative Party of Canada,20566,
Quebec,Montmorency--Charlevoix--Haute-Côte-Nord,Montmorency--Charlevoix--Haute-Côte-Nord,Robert Gauthier,Robert Gauthier,Liberal Party of Canada,5769,
Quebec,Montmorency--Charlevoix--Haute-Côte-Nord,Montmorency--Charlevoix--Haute-Côte-Nord,Michel Guimond,Michel Guimond,Bloc Québécois,21068,
Quebec,Montmorency--Charlevoix--Haute-Côte-Nord,Montmorency--Charlevoix--Haute-Côte-Nord,Jacques Legros,Jacques Legros,Green Party of Canada,1147,
Quebec,Montmorency--Charlevoix--Haute-Côte-Nord,Montmorency--Charlevoix--Haute-Côte-Nord,Guy-Léonard Tremblay,Guy-Léonard Tremblay,Conservative Party of Canada,11789,
Quebec,Montmorency--Charlevoix--Haute-Côte-Nord,Montmorency--Charlevoix--Haute-Côte-Nord,Jonathan Tremblay,Jonathan Tremblay,New Democratic Party,3332,
Quebec,Châteauguay--Saint-Constant,Châteauguay--Saint-Constant,Carole Freeman,Carole Freeman,Bloc Québécois,25086,
Quebec,Châteauguay--Saint-Constant,Châteauguay--Saint-Constant,Sonia Jurado,Sonia Jurado,New Democratic Party,8261,
Quebec,Châteauguay--Saint-Constant,Châteauguay--Saint-Constant,Pierre-Paul Routhier,Pierre-Paul Routhier,Conservative Party of Canada,9827,
Quebec,Châteauguay--Saint-Constant,Châteauguay--Saint-Constant,Brian Sarwer-Foner,Brian Sarwer-Foner,Green Party of Canada,1755,
Quebec,Châteauguay--Saint-Constant,Châteauguay--Saint-Constant,Linda Schwey,Linda Schwey,Liberal Party of Canada,10104,
Quebec,Chicoutimi--Le Fjord,Chicoutimi--Le Fjord,Robert Bouchard,Robert Bouchard,Bloc Québécois,19737,
Quebec,Chicoutimi--Le Fjord,Chicoutimi--Le Fjord,Stéphane Girard,Stéphane Girard,New Democratic Party,3742,
Quebec,Chicoutimi--Le Fjord,Chicoutimi--Le Fjord,Jean-Guy Maltais,Jean-Guy Maltais,Conservative Party of Canada,16680,
