Province,Riding English,Riding French,Candidate English,Candidate French,Party,Votes,Elected
Ontario,Oakville,Oakville,Blake Poland,Blake Poland,Green Party of Canada,4681,
Ontario,Oakville,Oakville,Terence Young,Terence Young,Conservative Party of Canada,26011,
Ontario,Oshawa,Oshawa,Colin Carrie,Colin Carrie,Conservative Party of Canada,19949,
Ontario,Oshawa,Oshawa,David Gershuny,David Gershuny,Marxist-Leninist Party of Canada,174,
Ontario,Oshawa,Oshawa,Sean Godfrey,Sean Godfrey,Liberal Party of Canada,7685,
Ontario,Oshawa,Oshawa,Pat Gostlin,Pat Gostlin,Green Party of Canada,3374,
Ontario,Oshawa,Oshawa,Alex Kreider,Alex Kreider,Canadian Action Party,51,
Ontario,Oshawa,Oshawa,Mike Shields,Mike Shields,New Democratic Party,16770,
Ontario,Oshawa,Oshawa,Peter Vogel,Peter Vogel,Christian Heritage Party of Canada,246,
Ontario,Ottawa Centre,Ottawa-Centre,John Andrew Akpata,John Andrew Akpata,Marijuana Party,378,
Ontario,Ottawa Centre,Ottawa-Centre,Penny Collenette,Penny Collenette,Liberal Party of Canada,16634,
Ontario,Ottawa Centre,Ottawa-Centre,Paul Dewar,Paul Dewar,New Democratic Party,25347,
Ontario,Ottawa Centre,Ottawa-Centre,Jen Hunter,Jen Hunter,Green Party of Canada,6348,
Ontario,Ottawa Centre,Ottawa-Centre,Brian McGarry,Brian McGarry,Conservative Party of Canada,15063,
Ontario,Ottawa Centre,Ottawa-Centre,Pierre Soublière,Pierre Soublière,Marxist-Leninist Party of Canada,93,
Ontario,Ottawa--Orléans,Ottawa--Orléans,Royal Galipeau,Royal Galipeau,Conservative Party of Canada,27206,
Ontario,Ottawa--Orléans,Ottawa--Orléans,Marc Godbout,Marc Godbout,Liberal Party of Canada,23504,
Ontario,Ottawa--Orléans,Ottawa--Orléans,Paul Maillet,Paul Maillet,Green Party of Canada,3833,
Ontario,Ottawa--Orléans,Ottawa--Orléans,Amy O'Dell,Amy O'Dell,New Democratic Party,6127,
Ontario,Ottawa South,Ottawa-Sud,Jean-Serge Brisson,Jean-Serge Brisson,Libertarian Party of Canada,244,
Ontario,Ottawa South,Ottawa-Sud,Hijal De Sarkar,Hijal De Sarkar,New Democratic Party,4920,
Ontario,Ottawa South,Ottawa-Sud,Qais Ghanem,Qais Ghanem,Green Party of Canada,3924,
Ontario,Ottawa South,Ottawa-Sud,Al Gullon,Al Gullon,Progressive Canadian Party,620,
Ontario,Ottawa South,Ottawa-Sud,David McGuinty,David McGuinty,Liberal Party of Canada,28934,
Ontario,Ottawa South,Ottawa-Sud,Elie Salibi,Elie Salibi,Conservative Party of Canada,19418,
Ontario,Ottawa--Vanier,Ottawa--Vanier,Mauril Bélanger,Mauril Bélanger,Liberal Party of Canada,23958,
Ontario,Ottawa--Vanier,Ottawa--Vanier,Patrick Glémaud,Patrick Glémaud,Conservative Party of Canada,14128,
Ontario,Ottawa--Vanier,Ottawa--Vanier,Trevor Haché,Trevor Haché,New Democratic Party,8845,
Ontario,Ottawa--Vanier,Ottawa--Vanier,Christian Legeais,Christian Legeais,Marxist-Leninist Party of Canada,129,
Ontario,Ottawa--Vanier,Ottawa--Vanier,Akbar Manoussi,Akbar Manoussi,Green Party of Canada,4443,
Ontario,Ottawa--Vanier,Ottawa--Vanier,Michel St-Onge,Michel St-Onge,Canadian Action Party,100,
Ontario,Ottawa--Vanier,Ottawa--Vanier,Robert Taylor-Larter,Robert Taylor-Larter,Independent,226,
Ontario,Ottawa West--Nepean,Ottawa-Ouest--Nepean,John Baird,John Baird,Conservative Party of Canada,25109,
Ontario,Ottawa West--Nepean,Ottawa-Ouest--Nepean,Frances Coates,Frances Coates,Green Party of Canada,3552,
Ontario,Ottawa West--Nepean,Ottawa-Ouest--Nepean,Alex McDonald,Alex McDonald,Communist Party of Canada,150,
Ontario,Ottawa West--Nepean,Ottawa-Ouest--Nepean,David Page,David Page,Independent,415,
Ontario,Ottawa West--Nepean,Ottawa-Ouest--Nepean,David Pratt,David Pratt,Liberal Party of Canada,20161,
Ontario,Ottawa West--Nepean,Ottawa-Ouest--Nepean,Marlene Rivier,Marlene Rivier,New Democratic Party,6432,
Ontario,Oxford,Oxford,Diane Abbott,Diane Abbott,New Democratic Party,7982,
Ontario,Oxford,Oxford,Martha Dennis,Martha Dennis,Liberal Party of Canada,8584,
Ontario,Oxford,Oxford,Shaun MacDonald,Shaun MacDonald,Christian Heritage Party of Canada,1036,
Ontario,Oxford,Oxford,Dave MacKenzie,Dave MacKenzie,Conservative Party of Canada,23330,
Ontario,Oxford,Oxford,Cathy Mott,Cathy Mott,Green Party of Canada,3455,
Ontario,Parkdale--High Park,Parkdale--High Park,Andrew Borkowski,Andrew Borkowski,Christian Heritage Party of Canada,231,
Ontario,Parkdale--High Park,Parkdale--High Park,Lorne Gershuny,Lorne Gershuny,Marxist-Leninist Party of Canada,110,
Ontario,Parkdale--High Park,Parkdale--High Park,Gerard Kennedy,Gerard Kennedy,Liberal Party of Canada,20715,
Ontario,Parkdale--High Park,Parkdale--High Park,Peggy Nash,Peggy Nash,New Democratic Party,17330,
Ontario,Parkdale--High Park,Parkdale--High Park,Terry Parker,Terry Parker,Marijuana Party,208,
Ontario,Parkdale--High Park,Parkdale--High Park,Robert Rishchynski,Robert Rishchynski,Green Party of Canada,3614,
Ontario,Parkdale--High Park,Parkdale--High Park,Jilian Saweczko,Jilian Saweczko,Conservative Party of Canada,5956,
Ontario,Parry Sound--Muskoka,Parry Sound--Muskoka,Jo-Anne Boulding,Jo-Anne Boulding,New Democratic Party,5355,
Ontario,Parry Sound--Muskoka,Parry Sound--Muskoka,Tony Clement,Tony Clement,Conservative Party of Canada,21830,
Ontario,Parry Sound--Muskoka,Parry Sound--Muskoka,Glen Hodgson,Glen Hodgson,Green Party of Canada,5118,
Ontario,Parry Sound--Muskoka,Parry Sound--Muskoka,Jamie McGarvey,Jamie McGarvey,Liberal Party of Canada,10866,
Ontario,Parry Sound--Muskoka,Parry Sound--Muskoka,David Rowland,David Rowland,Independent,325,
Ontario,Perth--Wellington,Perth--Wellington,John Cowling,John Cowling,Green Party of Canada,3884,
Ontario,Perth--Wellington,Perth--Wellington,Irma DeVries,Irma DeVries,Christian Heritage Party of Canada,898,
Ontario,Perth--Wellington,Perth--Wellington,Sandra Gardiner,Sandra Gardiner,Liberal Party of Canada,10225,
Ontario,Perth--Wellington,Perth--Wellington,Julian Ichim,Julian Ichim,Marxist-Leninist Party of Canada,84,
Ontario,Perth--Wellington,Perth--Wellington,Kerry McManus,Kerry McManus,New Democratic Party,7324,
Ontario,Perth--Wellington,Perth--Wellington,Gary Ralph Schellenberger,Gary Ralph Schellenberger,Conservative Party of Canada,20709,
Ontario,Peterborough,Peterborough,Emily Berrigan,Emily Berrigan,Green Party of Canada,4029,
Ontario,Peterborough,Peterborough,Elaine Couto,Elaine Couto,Marxist-Leninist Party of Canada,98,
Ontario,Peterborough,Peterborough,Dean Del Mastro,Dean Del Mastro,Conservative Party of Canada,27629,
Ontario,Peterborough,Peterborough,Betsy McGregor,Betsy McGregor,Liberal Party of Canada,18413,
Ontario,Peterborough,Peterborough,Steve Sharpe,Steve Sharpe,New Democratic Party,8110,
Ontario,Pickering--Scarborough East,Pickering--Scarborough-Est,Jason Becevello,Jason Becevello,Green Party of Canada,3025,
Ontario,Pickering--Scarborough East,Pickering--Scarborough-Est,Rick Chue,Rick Chue,Christian Heritage Party of Canada,191,
Ontario,Pickering--Scarborough East,Pickering--Scarborough-Est,Chai Kalevar,Chai Kalevar,Canadian Action Party,130,
Ontario,Pickering--Scarborough East,Pickering--Scarborough-Est,George Khouri,George Khouri,Conservative Party of Canada,15539,
Ontario,Pickering--Scarborough East,Pickering--Scarborough-Est,Dan McTeague,Dan McTeague,Liberal Party of Canada,22874,
Ontario,Pickering--Scarborough East,Pickering--Scarborough-Est,Andrea Moffat,Andrea Moffat,New Democratic Party,4875,
Ontario,Prince Edward--Hastings,Prince Edward--Hastings,Paul Barnes,Paul Barnes,Independent,279,
Ontario,Prince Edward--Hastings,Prince Edward--Hastings,Ken Cole,Ken Cole,Liberal Party of Canada,14047,
Ontario,Prince Edward--Hastings,Prince Edward--Hastings,Alan Coxwell,Alan Coxwell,Green Party of Canada,4380,
Ontario,Prince Edward--Hastings,Prince Edward--Hastings,Daryl Kramp,Daryl Kramp,Conservative Party of Canada,26061,
Ontario,Prince Edward--Hastings,Prince Edward--Hastings,Michael McMahon,Michael McMahon,New Democratic Party,7215,
Ontario,Renfrew--Nipissing--Pembroke,Renfrew--Nipissing--Pembroke,Carole Devine,Carole Devine,Liberal Party of Canada,9740,
Ontario,Renfrew--Nipissing--Pembroke,Renfrew--Nipissing--Pembroke,Denis Gagné,Denis Gagné,Independent,293,
Ontario,Renfrew--Nipissing--Pembroke,Renfrew--Nipissing--Pembroke,Cheryl Gallant,Cheryl Gallant,Conservative Party of Canada,28906,
Ontario,Renfrew--Nipissing--Pembroke,Renfrew--Nipissing--Pembroke,Ben Hoffman,Ben Hoffman,Green Party of Canada,3201,
Ontario,Renfrew--Nipissing--Pembroke,Renfrew--Nipissing--Pembroke,Sue McSheffrey,Sue McSheffrey,New Democratic Party,5174,
Ontario,Richmond Hill,Richmond Hill,Wess Dowsett,Wess Dowsett,New Democratic Party,4526,
Ontario,Richmond Hill,Richmond Hill,Chungsen Leung,Chungsen Leung,Conservative Party of Canada,16259,
Ontario,Richmond Hill,Richmond Hill,Dylan Marando,Dylan Marando,Green Party of Canada,3384,
Ontario,Richmond Hill,Richmond Hill,Bryon Wilfert,Bryon Wilfert,Liberal Party of Canada,21444,
Ontario,St. Catharines,St. Catharines,George N. Addison,George N. Addison,New Democratic Party,9444,
Ontario,St. Catharines,St. Catharines,Rick Dykstra,Rick Dykstra,Conservative Party of Canada,23438,
Ontario,St. Catharines,St. Catharines,Jim Fannon,Jim Fannon,Green Party of Canada,3469,
Ontario,St. Catharines,St. Catharines,Sam Hammond,Sam Hammond,Communist Party of Canada,146,
Ontario,St. Catharines,St. Catharines,Walt Lastewka,Walt Lastewka,Liberal Party of Canada,14649,
Ontario,St. Paul's,St. Paul's,Anita Agrawal,Anita Agrawal,New Democratic Party,6880,
Ontario,St. Paul's,St. Paul's,Carolyn Bennett,Carolyn Bennett,Liberal Party of Canada,26236,
Ontario,St. Paul's,St. Paul's,Justin Erdman,Justin Erdman,Green Party of Canada,4713,
Ontario,St. Paul's,St. Paul's,Heather Jewell,Heather Jewell,Conservative Party of Canada,13800,
Ontario,St. Paul's,St. Paul's,John Kittredge,John Kittredge,Libertarian Party of Canada,313,
Ontario,Sarnia--Lambton,Sarnia--Lambton,Andy Bruziewicz,Andy Bruziewicz,New Democratic Party,10122,
Ontario,Sarnia--Lambton,Sarnia--Lambton,Pat Davidson,Pat Davidson,Conservative Party of Canada,23008,
Ontario,Sarnia--Lambton,Sarnia--Lambton,Christopher Desormeaux-Malm,Christopher Desormeaux-Malm,Christian Heritage Party of Canada,546,
Ontario,Sarnia--Lambton,Sarnia--Lambton,Tim Fugard,Tim Fugard,Liberal Party of Canada,9281,
Ontario,Sarnia--Lambton,Sarnia--Lambton,Allan McKeown,Allan McKeown,Green Party of Canada,3184,
Ontario,Sault Ste. Marie,Sault Ste. Marie,Paul Bichler,Paul Bichler,Liberal Party of Canada,6870,
Ontario,Sault Ste. Marie,Sault Ste. Marie,Luke Macmichael,Luke Macmichael,Green Party of Canada,1774,
Ontario,Sault Ste. Marie,Sault Ste. Marie,Tony Martin,Tony Martin,New Democratic Party,16572,
Ontario,Sault Ste. Marie,Sault Ste. Marie,Cory McLeod,Cory McLeod,First Peoples National Party of Canada,235,
Ontario,Sault Ste. Marie,Sault Ste. Marie,Cameron Ross,Cameron Ross,Conservative Party of Canada,15431,
Ontario,Sault Ste. Marie,Sault Ste. Marie,Mike Taffarel,Mike Taffarel,Marxist-Leninist Party of Canada,81,
Ontario,Scarborough--Agincourt,Scarborough--Agincourt,Simon Dougherty,Simon Dougherty,New Democratic Party,3734,
Ontario,Scarborough--Agincourt,Scarborough--Agincourt,Jim Karygiannis,Jim Karygiannis,Liberal Party of Canada,22729,
Ontario,Scarborough--Agincourt,Scarborough--Agincourt,Benson Lau,Benson Lau,Conservative Party of Canada,11831,
Ontario,Scarborough--Agincourt,Scarborough--Agincourt,Adrian Molder,Adrian Molder,Green Party of Canada,1859,
Ontario,Scarborough Centre,Scarborough-Centre,John Cannis,John Cannis,Liberal Party of Canada,17902,
Ontario,Scarborough Centre,Scarborough-Centre,Natalie Hundt,Natalie Hundt,New Democratic Party,5795,
Ontario,Scarborough Centre,Scarborough-Centre,Roxanne James,Roxanne James,Conservative Party of Canada,11078,
Ontario,Scarborough Centre,Scarborough-Centre,Ella Ng,Ella Ng,Green Party of Canada,2010,
Ontario,Scarborough--Guildwood,Scarborough--Guildwood,Alonzo Bartley,Alonzo Bartley,Green Party of Canada,1905,
Ontario,Scarborough--Guildwood,Scarborough--Guildwood,Sania Khan,Sania Khan,New Democratic Party,5168,
Ontario,Scarborough--Guildwood,Scarborough--Guildwood,Chuck Konkel,Chuck Konkel,Conservative Party of Canada,10768,
Ontario,Scarborough--Guildwood,Scarborough--Guildwood,John McKay,John McKay,Liberal Party of Canada,18035,
Ontario,Scarborough--Rouge River,Scarborough--Rouge River,Jerry Bance,Jerry Bance,Conservative Party of Canada,9160,
Ontario,Scarborough--Rouge River,Scarborough--Rouge River,Derek Lee,Derek Lee,Liberal Party of Canada,23716,
Ontario,Scarborough--Rouge River,Scarborough--Rouge River,Alan Mercer,Alan Mercer,Libertarian Party of Canada,331,
Ontario,Scarborough--Rouge River,Scarborough--Rouge River,Attila Nagy,Attila Nagy,Green Party of Canada,1567,
Ontario,Scarborough--Rouge River,Scarborough--Rouge River,Ryan Sloan,Ryan Sloan,New Democratic Party,5954,
Ontario,Scarborough Southwest,Scarborough-Sud-Ouest,Greg Crompton,Greg Crompton,Conservative Party of Canada,10900,
Ontario,Scarborough Southwest,Scarborough-Sud-Ouest,Stefan Dixon,Stefan Dixon,Green Party of Canada,3507,
Ontario,Scarborough Southwest,Scarborough-Sud-Ouest,Alamgir Hussain,Alamgir Hussain,New Democratic Party,7024,
Ontario,Scarborough Southwest,Scarborough-Sud-Ouest,M. H. Fatique Chowdhury Kabir,M. H. Fatique Chowdhury Kabir,Independent,150,
Ontario,Scarborough Southwest,Scarborough-Sud-Ouest,Michelle Simson,Michelle Simson,Liberal Party of Canada,15480,
Ontario,Simcoe--Grey,Simcoe--Grey,Katy Austin,Katy Austin,New Democratic Party,6288,
Ontario,Simcoe--Grey,Simcoe--Grey,Peter Ellis,Peter Ellis,Green Party of Canada,5684,
Ontario,Simcoe--Grey,Simcoe--Grey,Helena Guergis,Helena Guergis,Conservative Party of Canada,30897,
Ontario,Simcoe--Grey,Simcoe--Grey,Andrea Matrosovs,Andrea Matrosovs,Liberal Party of Canada,12099,
Ontario,Simcoe--Grey,Simcoe--Grey,Caley McKibbin,Caley McKibbin,Libertarian Party of Canada,143,
Ontario,Simcoe--Grey,Simcoe--Grey,Peter Vander Zaag,Peter Vander Zaag,Christian Heritage Party of Canada,1018,
Ontario,Simcoe North,Simcoe-Nord,Richard Banigan,Richard Banigan,New Democratic Party,6207,
Ontario,Simcoe North,Simcoe-Nord,Steve Clarke,Steve Clarke,Liberal Party of Canada,14670,
Ontario,Simcoe North,Simcoe-Nord,Valerie Powell,Valerie Powell,Green Party of Canada,5820,
Ontario,Simcoe North,Simcoe-Nord,Bruce Stanton,Bruce Stanton,Conservative Party of Canada,26328,
Ontario,Stormont--Dundas--South Glengarry,Stormont--Dundas--South Glengarry,DWight Dugas,DWight Dugas,Canadian Action Party,104,
Ontario,Stormont--Dundas--South Glengarry,Stormont--Dundas--South Glengarry,Howard Galganov,Howard Galganov,Independent,2585,
Ontario,Stormont--Dundas--South Glengarry,Stormont--Dundas--South Glengarry,Darlene Jalbert,Darlene Jalbert,New Democratic Party,6107,
Ontario,Stormont--Dundas--South Glengarry,Stormont--Dundas--South Glengarry,Guy Lauzon,Guy Lauzon,Conservative Party of Canada,25846,
Ontario,Stormont--Dundas--South Glengarry,Stormont--Dundas--South Glengarry,David Rawnsley,David Rawnsley,Green Party of Canada,1885,
Ontario,Stormont--Dundas--South Glengarry,Stormont--Dundas--South Glengarry,Denis Sabourin,Denis Sabourin,Liberal Party of Canada,8564,
Ontario,Sudbury,Sudbury,Gordon Harris,Gordon Harris,Green Party of Canada,3321,
Ontario,Sudbury,Sudbury,Gerry Labelle,Gerry Labelle,Conservative Party of Canada,11073,
Ontario,Sudbury,Sudbury,Diane Marleau,Diane Marleau,Liberal Party of Canada,12984,
Ontario,Sudbury,Sudbury,Will Morin,Will Morin,First Peoples National Party of Canada,415,
Ontario,Sudbury,Sudbury,J. David Popescu,J. David Popescu,Independent,80,
Ontario,Sudbury,Sudbury,Glenn Thibeault,Glenn Thibeault,New Democratic Party,15050,
Ontario,Thornhill,Thornhill,Susan Kadis,Susan Kadis,Liberal Party of Canada,21448,
Ontario,Thornhill,Thornhill,Peter Kent,Peter Kent,Conservative Party of Canada,26660,
Ontario,Thornhill,Thornhill,Norbert Koehl,Norbert Koehl,Green Party of Canada,2686,
Ontario,Thornhill,Thornhill,Simon Strelchik,Simon Strelchik,New Democratic Party,3601,
Ontario,Thunder Bay--Rainy River,Thunder Bay--Rainy River,Russ Aegard,Russ Aegard,Green Party of Canada,1377,
Ontario,Thunder Bay--Rainy River,Thunder Bay--Rainy River,Ken Boshcoff,Ken Boshcoff,Liberal Party of Canada,11589,
Ontario,Thunder Bay--Rainy River,Thunder Bay--Rainy River,Richard Neumann,Richard Neumann,Conservative Party of Canada,8466,
Ontario,Thunder Bay--Rainy River,Thunder Bay--Rainy River,John Rafferty,John Rafferty,New Democratic Party,14473,
Ontario,Thunder Bay--Superior North,Thunder Bay--Superior-Nord,Denis Andrew Carrière,Denis Andrew Carrière,Marijuana Party,327,
Ontario,Thunder Bay--Superior North,Thunder Bay--Superior-Nord,Brendan Daniel Hughes,Brendan Daniel Hughes,Green Party of Canada,2463,
Ontario,Thunder Bay--Superior North,Thunder Bay--Superior-Nord,Bruce Hyer,Bruce Hyer,New Democratic Party,13174,
Ontario,Thunder Bay--Superior North,Thunder Bay--Superior-Nord,Don McArthur,Don McArthur,Liberal Party of Canada,10083,
Ontario,Thunder Bay--Superior North,Thunder Bay--Superior-Nord,Bev Sarafin,Bev Sarafin,Conservative Party of Canada,9556,
Ontario,Timmins--James Bay,Timmins--Baie James,Charlie Angus,Charlie Angus,New Democratic Party,17188,
Ontario,Timmins--James Bay,Timmins--Baie James,Bill Greenberg,Bill Greenberg,Conservative Party of Canada,5536,
Ontario,Timmins--James Bay,Timmins--Baie James,Paul Taillefer,Paul Taillefer,Liberal Party of Canada,6740,
Ontario,Timmins--James Bay,Timmins--Baie James,Larry Verner,Larry Verner,Green Party of Canada,938,
Ontario,Toronto Centre,Toronto-Centre,Johan Boyden,Johan Boyden,Communist Party of Canada,193,
Ontario,Toronto Centre,Toronto-Centre,Gerald Derome,Gerald Derome,Independent,155,
Ontario,Toronto Centre,Toronto-Centre,Philip Fernandez,Philip Fernandez,Marxist-Leninist Party of Canada,92,
Ontario,Toronto Centre,Toronto-Centre,David Peter Gentili,David Peter Gentili,Conservative Party of Canada,9405,
Ontario,Toronto Centre,Toronto-Centre,El- Farouk Khaki,El- Farouk Khaki,New Democratic Party,7744,
Ontario,Toronto Centre,Toronto-Centre,Ellen Michelson,Ellen Michelson,Green Party of Canada,6081,
Ontario,Toronto Centre,Toronto-Centre,Bob Rae,Bob Rae,Liberal Party of Canada,27577,
Ontario,Toronto Centre,Toronto-Centre,Liz White,Liz White,Animal Alliance Environment Voters Party of Canada,187,
Ontario,Toronto--Danforth,Toronto--Danforth,Marie Crawford,Marie Crawford,Animal Alliance Environment Voters Party of Canada,177,
Ontario,Toronto--Danforth,Toronto--Danforth,Sharon Howarth,Sharon Howarth,Green Party of Canada,5934,
Ontario,Toronto--Danforth,Toronto--Danforth,Andrew Lang,Andrew Lang,Liberal Party of Canada,13291,
Ontario,Toronto--Danforth,Toronto--Danforth,Jack Layton,Jack Layton,New Democratic Party,20416,
Ontario,Toronto--Danforth,Toronto--Danforth,Christina Perreault,Christina Perreault,Conservative Party of Canada,5274,
Ontario,Toronto--Danforth,Toronto--Danforth,John Richardson,John Richardson,Independent,129,
Ontario,Toronto--Danforth,Toronto--Danforth,Marcell Rodden,Marcell Rodden,Marxist-Leninist Party of Canada,98,
Ontario,Toronto--Danforth,Toronto--Danforth,Bahman Yazdanfar,Bahman Yazdanfar,Canadian Action Party,55,
Ontario,Trinity--Spadina,Trinity--Spadina,Carlos Santos Almeida,Carlos Santos Almeida,Independent,164,
Ontario,Trinity--Spadina,Trinity--Spadina,Chester Brown,Chester Brown,Libertarian Party of Canada,490,
Ontario,Trinity--Spadina,Trinity--Spadina,Olivia Chow,Olivia Chow,New Democratic Party,24442,
Ontario,Trinity--Spadina,Trinity--Spadina,Val Illie,Val Illie,Independent,130,
Ontario,Trinity--Spadina,Trinity--Spadina,Christine Innes,Christine Innes,Liberal Party of Canada,20967,
Ontario,Trinity--Spadina,Trinity--Spadina,Stephen La Frenie,Stephen La Frenie,Green Party of Canada,5383,
Ontario,Trinity--Spadina,Trinity--Spadina,Christine McGirr,Christine McGirr,Conservative Party of Canada,8220,
Ontario,Vaughan,Vaughan,Maurizio Bevilacqua,Maurizio Bevilacqua,Liberal Party of Canada,27773,
Ontario,Vaughan,Vaughan,Richard Lorello,Richard Lorello,Conservative Party of Canada,19390,
Ontario,Vaughan,Vaughan,Adrian Visentin,Adrian Visentin,Green Party of Canada,3875,
Ontario,Vaughan,Vaughan,Vicky Wilkin,Vicky Wilkin,New Democratic Party,5431,
Ontario,Welland,Welland,Malcolm Allen,Malcolm Allen,New Democratic Party,16841,
Ontario,Welland,Welland,Jody Di Bartolomeo,Jody Di Bartolomeo,Independent,599,
Ontario,Welland,Welland,Alf Kiers,Alf Kiers,Conservative Party of Canada,16350,
Ontario,Welland,Welland,John Maloney,John Maloney,Liberal Party of Canada,14299,
Ontario,Welland,Welland,Jennifer Mooradian,Jennifer Mooradian,Green Party of Canada,2816,
Ontario,Welland,Welland,Ron Walker,Ron Walker,Marxist-Leninist Party of Canada,114,
Ontario,Wellington--Halton Hills,Wellington--Halton Hills,Brent Bouteiller,Brent Bouteiller,Green Party of Canada,4997,
Ontario,Wellington--Halton Hills,Wellington--Halton Hills,Bruce Bowser,Bruce Bowser,Liberal Party of Canada,11312,
Ontario,Wellington--Halton Hills,Wellington--Halton Hills,Michael Chong,Michael Chong,Conservative Party of Canada,29191,
Ontario,Wellington--Halton Hills,Wellington--Halton Hills,Noel Duignan,Noel Duignan,New Democratic Party,4747,
Ontario,Wellington--Halton Hills,Wellington--Halton Hills,Jeffrey Streutker,Jeffrey Streutker,Christian Heritage Party of Canada,414,
Ontario,Whitby--Oshawa,Whitby--Oshawa,Doug Anderson,Doug Anderson,Green Party of Canada,5087,
Ontario,Whitby--Oshawa,Whitby--Oshawa,Jim Flaherty,Jim Flaherty,Conservative Party of Canada,30604,
Ontario,Whitby--Oshawa,Whitby--Oshawa,Yvonne Forbes,Yvonne Forbes,Christian Heritage Party of Canada,395,
Ontario,Whitby--Oshawa,Whitby--Oshawa,Brent Fullard,Brent Fullard,Liberal Party of Canada,15470,
Ontario,Whitby--Oshawa,Whitby--Oshawa,David Purdy,David Purdy,New Democratic Party,8539,
Ontario,Willowdale,Willowdale,Lou Carcasole,Lou Carcasole,Green Party of Canada,3120,
Ontario,Willowdale,Willowdale,Martha Hall Findlay,Martha Hall Findlay,Liberal Party of Canada,23879,
Ontario,Willowdale,Willowdale,Jake Karns,Jake Karns,Conservative Party of Canada,15940,
Ontario,Willowdale,Willowdale,Bernadette Michael,Bernadette Michael,Independent,260,
Ontario,Willowdale,Willowdale,Bahman Roudgarnia,Bahman Roudgarnia,Progressive Canadian Party,884,
Ontario,Willowdale,Willowdale,Susan Wallace,Susan Wallace,New Democratic Party,5011,
Ontario,Windsor--Tecumseh,Windsor--Tecumseh,Joe Comartin,Joe Comartin,New Democratic Party,21004,
Ontario,Windsor--Tecumseh,Windsor--Tecumseh,Denise Ghanam,Denise Ghanam,Conservative Party of Canada,10296,
Ontario,Windsor--Tecumseh,Windsor--Tecumseh,Steve Mastroianni,Steve Mastroianni,Liberal Party of Canada,8951,
Ontario,Windsor--Tecumseh,Windsor--Tecumseh,Kyle Prestanski,Kyle Prestanski,Green Party of Canada,2752,
Ontario,Windsor West,Windsor-Ouest,John Esposito,John Esposito,Green Party of Canada,2253,
Ontario,Windsor West,Windsor-Ouest,Larry Horwitz,Larry Horwitz,Liberal Party of Canada,7369,
Ontario,Windsor West,Windsor-Ouest,Lisa Lumley,Lisa Lumley,Conservative Party of Canada,8953,
Ontario,Windsor West,Windsor-Ouest,Brian Masse,Brian Masse,New Democratic Party,20834,
Ontario,Windsor West,Windsor-Ouest,Elizabeth Rowley,Elizabeth Rowley,Communist Party of Canada,125,
Ontario,Windsor West,Windsor-Ouest,Margaret Villamizar,Margaret Villamizar,Marxist-Leninist Party of Canada,116,
Ontario,York Centre,York-Centre,Kurtis Baily,Kurtis Baily,New Democratic Party,4481,
Ontario,York Centre,York-Centre,Ken Dryden,Ken Dryden,Liberal Party of Canada,16185,
Ontario,York Centre,York-Centre,Rosemary Frei,Rosemary Frei,Green Party of Canada,2428,
Ontario,York Centre,York-Centre,Rochelle Wilner,Rochelle Wilner,Conservative Party of Canada,14095,
Ontario,York--Simcoe,York--Simcoe,John Dewar,John Dewar,Green Party of Canada,4887,
Ontario,York--Simcoe,York--Simcoe,Sylvia Gerl,Sylvia Gerl,New Democratic Party,5882,
Ontario,York--Simcoe,York--Simcoe,Vicki Gunn,Vicki Gunn,Christian Heritage Party of Canada,444,
Ontario,York--Simcoe,York--Simcoe,Judith Moses,Judith Moses,Liberal Party of Canada,9044,
Ontario,York--Simcoe,York--Simcoe,Paul Pisani,Paul Pisani,Progressive Canadian Party,676,
Ontario,York--Simcoe,York--Simcoe,Peter Van Loan,Peter Van Loan,Conservative Party of Canada,27412,
Ontario,York South--Weston,York-Sud--Weston,Aydin Cocelli,Aydin Cocelli,Conservative Party of Canada,7015,
Ontario,York South--Weston,York-Sud--Weston,Andre Papadimitriou,Andre Papadimitriou,Green Party of Canada,1759,
Ontario,York South--Weston,York-Sud--Weston,Mike Sullivan,Mike Sullivan,New Democratic Party,9634,
Ontario,York South--Weston,York-Sud--Weston,Alan Tonks,Alan Tonks,Liberal Party of Canada,16004,
Ontario,York West,York-Ouest,Nick Capra,Nick Capra,Green Party of Canada,1502,
Ontario,York West,York-Ouest,Giulio Manfrini,Giulio Manfrini,New Democratic Party,5365,
Ontario,York West,York-Ouest,Kevin Nguyen,Kevin Nguyen,Conservative Party of Canada,4787,
Ontario,York West,York-Ouest,Judy Sgro,Judy Sgro,Liberal Party of Canada,17026,
Manitoba,Brandon--Souris,Brandon--Souris,Dave Barnes,Dave Barnes,Green Party of Canada,5408,
Manitoba,Brandon--Souris,Brandon--Souris,John Bouché,John Bouché,New Democratic Party,6024,
Manitoba,Brandon--Souris,Brandon--Souris,Jerome Dondo,Jerome Dondo,Christian Heritage Party of Canada,292,
Manitoba,Brandon--Souris,Brandon--Souris,Lisa Gallagher,Lisa Gallagher,Communist Party of Canada,124,
Manitoba,Brandon--Souris,Brandon--Souris,Merv Tweed,Merv Tweed,Conservative Party of Canada,19557,
Manitoba,Brandon--Souris,Brandon--Souris,Martha Jo Willard,Martha Jo Willard,Liberal Party of Canada,2836,
